Time,Plasma/ CSF/ ER Nicotine,Sequestered Nicotine,Fraction of Activated nAChR,Fraction of Chaperoned nAChR
0.0704161427595906,69.0697673923571,8.89855470193296,0.0646183158674751,0.651587597916514
0.0713568772681088,68.3182907082806,9.08781154724139,0.0639602343054142,0.649102521383233
0.0722976117766269,67.5757485086537,9.27468593298067,0.0633090667578,0.646611891497511
0.0732383462851451,66.8420334623804,9.45920653372504,0.062664749180815,0.644115870092034
0.0747303264723649,65.696217685651,9.74709520558379,0.0616567669506395,0.64014655406228
0.0781372878027569,63.1597595447116,10.3831548496988,0.0594176958816673,0.631036582324001
0.0815442491331489,60.730737556019,10.9905705566721,0.0572634235351853,0.621868963929559
0.0849512104635409,58.40456295088,11.5705682325772,0.0551910895677053,0.612651518466905
0.0883581717939329,56.1768599955875,12.124316845029,0.0531979245316154,0.603392544764949
0.091765133124325,54.0434447499496,12.6529341090275,0.0512812205771302,0.59410046949984
0.095172094454717,52.0003114914377,13.1574901203227,0.0494383370749641,0.584783621713697
0.098579055785109,50.0436238978718,13.6390097061099,0.0476667012896073,0.575450431719322
0.101986017115501,48.1697080602341,14.0984742884379,0.0459638063219885,0.566109568337758
0.105392978445893,46.3750459713647,14.5368236295061,0.0443272121235568,0.55676973423621
0.108799939776285,44.6562691172575,14.9549575498189,0.0427545460011622,0.547439451242585
0.112206901106677,43.0101521719016,15.3537376106323,0.0412435021806241,0.53812714733048
0.115613862437069,41.4336068941944,15.7339887399912,0.0397918414279873,0.528841334084958
0.119020823767461,39.9236762994852,16.096500792461,0.0383973905872293,0.519590519459721
0.122427785097853,38.4775291005059,16.4420300417142,0.0370580419060062,0.510382939482006
0.125834746428245,37.0924543685776,16.7713006086467,0.035771752245584,0.501226499939946
0.129241707758637,35.7658563958951,17.0850058281647,0.0345365421782428,0.492129002701037
0.132648669089029,34.4952497867,17.3838095576003,0.0333504949916395,0.483098267985911
0.136055630419421,33.2782547936352,17.6683474295953,0.032211755652739,0.474141883013266
0.139462591749813,32.1125928590808,17.9392280520166,0.0311185297136669,0.465266882855577
0.142869553080205,30.9960823055078,18.1970341569851,0.0300690821125042,0.456479845460714
0.148139370326936,29.3610788312375,18.5713382291627,0.02852818111406,0.443077216929291
0.153409187573666,27.8313774728588,18.9176448154836,0.0270820757950765,0.429923927520205
